date,time,mq2_adc,mq2_rs,mq2_ratio,mq2_ppm,mq135_adc,mq135_rs,mq135_ratio,mq135_ppm,mq7_adc,mq7_rs,mq7_ratio,mq7_ppm,label
2026-03-25,06:56:21,417,176402.87,15.13,0.0,2695,10389.61,0.87,2.01,273,280000.0,25.45,0.0,2
2026-03-25,06:56:23,432,169583.33,14.54,0.0,2677,10593.95,0.88,1.93,272,281102.94,25.55,0.0,2
2026-03-25,06:56:25,417,176402.87,15.13,0.0,2640,11022.73,0.92,1.77,257,298677.03,27.15,0.0,2
2026-03-25,06:56:27,415,177349.39,15.21,0.0,2681,10548.3,0.88,1.95,269,284460.97,25.86,0.0,2
2026-03-25,06:56:29,404,182722.78,15.67,0.0,2636,11069.8,0.92,1.76,253,303715.41,27.61,0.0,2
2026-03-25,06:56:31,410,179756.09,15.42,0.0,2672,10651.2,0.89,1.91,260,295000.0,26.82,0.0,2
2026-03-25,06:56:33,398,185778.91,15.93,0.0,2630,11140.69,0.93,1.73,253,303715.41,27.61,0.0,2
2026-03-25,06:56:35,393,188396.95,16.16,0.0,2629,11152.53,0.93,1.73,251,306294.81,27.84,0.0,2
2026-03-25,06:56:37,400,184750.0,15.84,0.0,2655,10847.46,0.9,1.83,266,287894.75,26.17,0.0,2
2026-03-25,06:56:39,401,184239.41,15.8,0.0,2672,10651.2,0.89,1.91,266,287894.75,26.17,0.0,2
2026-03-25,06:56:41,423,173617.03,14.89,0.0,2667,10708.66,0.89,1.89,269,284460.97,25.86,0.0,2
2026-03-25,06:56:43,400,184750.0,15.84,0.0,2624,11211.89,0.93,1.71,250,307600.0,27.96,0.0,2
2026-03-25,06:56:45,399,185263.17,15.89,0.0,2645,10964.08,0.91,1.79,259,296216.22,26.93,0.0,2
2026-03-25,06:56:47,395,187341.77,16.07,0.0,2598,11524.25,0.96,1.61,251,306294.81,27.84,0.0,2
2026-03-25,06:56:49,416,176875.0,15.17,0.0,2653,10870.71,0.91,1.83,261,293793.09,26.71,0.0,2
2026-03-25,06:56:51,378,196666.67,16.87,0.0,2606,11427.47,0.95,1.64,249,308915.69,28.08,0.0,2
2026-03-25,06:56:53,414,177826.09,15.25,0.0,2635,11081.6,0.92,1.75,266,287894.75,26.17,0.0,2
2026-03-25,06:56:55,400,184750.0,15.84,0.0,2599,11512.12,0.96,1.62,246,312926.84,28.45,0.0,2
2026-03-25,06:56:57,405,182222.22,15.63,0.0,2634,11093.4,0.92,1.75,264,290227.28,26.38,0.0,2
2026-03-25,06:56:59,413,178305.09,15.29,0.0,2643,10987.51,0.92,1.79,259,296216.22,26.93,0.0,2
2026-03-25,06:57:01,403,183225.81,15.71,0.0,2642,10999.24,0.92,1.78,256,299921.87,27.27,0.0,2
2026-03-25,06:57:03,400,184750.0,15.84,0.0,2591,11609.42,0.97,1.59,249,308915.69,28.08,0.0,2
2026-03-25,06:57:05,400,184750.0,15.84,0.0,2591,11609.42,0.97,1.59,245,314285.72,28.57,0.0,2
2026-03-25,06:57:07,389,190539.86,16.34,0.0,2594,11572.86,0.96,1.6,253,303715.41,27.61,0.0,2
2026-03-25,06:57:09,388,191082.48,16.39,0.0,2596,11548.54,0.96,1.61,249,308915.69,28.08,0.0,2
2026-03-25,06:57:11,400,184750.0,15.84,0.0,2585,11682.79,0.97,1.57,242,318429.75,28.95,0.0,2
2026-03-25,06:57:13,380,195526.31,16.77,0.0,2601,11487.89,0.96,1.62,243,317037.03,28.82,0.0,2
2026-03-25,06:57:15,401,184239.41,15.8,0.0,2634,11093.4,0.92,1.75,258,297441.88,27.04,0.0,2
2026-03-25,06:57:17,388,191082.48,16.39,0.0,2599,11512.12,0.96,1.62,251,306294.81,27.84,0.0,2
2026-03-25,06:57:19,388,191082.48,16.39,0.0,2615,11319.31,0.94,1.68,254,302440.97,27.49,0.0,2
2026-03-25,06:57:21,385,192727.27,16.53,0.0,2581,11731.89,0.98,1.55,242,318429.75,28.95,0.0,2
2026-03-25,06:57:23,410,179756.09,15.42,0.0,2635,11081.6,0.92,1.75,262,292595.41,26.6,0.0,2
2026-03-25,06:57:25,400,184750.0,15.84,0.0,2585,11682.79,0.97,1.57,250,307600.0,27.96,0.0,2
2026-03-25,06:57:27,400,184750.0,15.84,0.0,2630,11140.69,0.93,1.73,254,302440.97,27.49,0.0,2
2026-03-25,06:57:29,395,187341.77,16.07,0.0,2559,12004.69,1.0,1.48,250,307600.0,27.96,0.0,2
2026-03-25,06:57:31,405,182222.22,15.63,0.0,2626,11188.12,0.93,1.72,261,293793.09,26.71,0.0,2
2026-03-25,06:57:33,400,184750.0,15.84,0.0,2559,12004.69,1.0,1.48,245,314285.72,28.57,0.0,2
2026-03-25,06:57:35,415,177349.39,15.21,0.0,2622,11235.7,0.94,1.7,255,301176.47,27.38,0.0,2
2026-03-25,06:57:37,385,192727.27,16.53,0.0,2586,11670.53,0.97,1.57,247,311578.94,28.33,0.0,2
2026-03-25,06:57:39,389,190539.86,16.34,0.0,2583,11707.32,0.98,1.56,242,318429.75,28.95,0.0,2
